method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s_a,sample_elapsed_s_b,total_elapsed_s,tts_s,success,tts_hit_s,mts_t_hit_s,target_e,bestE_sample,q10,q50,q90,K,seed_bestE,mts_bestE,mts_elapsed_s,mts_outer_iters,tau_dcqo_s,fast_outlier
DAQO,15,1611489,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7417227440000715,0.9800902969982417,0.9912235389983834,0.9912235389983834,1,0.9911954829985916,0.011105186000349931,24,40.0,68.0,120.0,316.0,16,40,24,0.011133242000141763,2,2.0067643902000416,1
DCQO,15,1611489,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9954483210003673,2.6464184209999075,2.660106404999169,2.660106404999169,1,2.6600786779999908,0.01366025700008322,24,32.0,44.0,124.0,344.0,16,32,24,0.013687983999261633,2,2.0067643902000416,0
DAQO,16,1611506,16,10,0.05,0.5,0.05,0.0,1.0,100,0.743131106999499,1.009631327000534,1.0292418579992955,1.0292418579992955,1,1.0292133830007515,0.019582056000217563,24,48.0,76.0,144.0,336.0,16,48,24,0.019610530998761533,3,2.0067643902000416,1
DCQO,16,1611506,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9953915789992607,2.6811525949997304,2.709457195000141,2.709457195000141,1,2.7094400319983833,0.028287436998652993,24,36.0,48.0,132.0,408.0,16,36,24,0.028304600000410574,4,2.0067643902000416,0
DAQO,17,1611523,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7400469909989624,0.9686046700007864,0.9779328029999306,0.9779328029999306,1,0.9779145600004995,0.00930988999971305,24,40.0,72.0,120.0,268.0,16,40,24,0.009328132999144145,2,2.0067643902000416,1
DCQO,17,1611523,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9932884289992217,2.699026247999427,2.7088614869990124,2.7088614869990124,1,2.70882972599793,0.009803477998502785,24,32.0,40.0,144.0,420.0,16,32,24,0.009835238999585272,2,2.0067643902000416,0
DAQO,18,1611540,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7491999129997566,0.9646226580007351,1.0023884440015536,1.0023884440015536,1,1.002360447000683,0.03773778899994795,24,48.0,76.0,136.0,232.0,16,48,24,0.03776578600081848,5,2.0067643902000416,1
DCQO,18,1611540,16,10,0.05,0.5,0.05,0.1,1.0,100,2.0081693470001483,2.6750555700000405,2.6967976140003884,2.6967976140003884,1,2.6967746390000684,0.021719069000027957,24,32.0,52.0,128.0,392.0,16,32,24,0.02174204400034796,3,2.0067643902000416,0
DAQO,19,1611557,16,10,0.05,0.5,0.05,0.0,1.0,100,0.7415658150002855,0.9737918949995219,0.991265939999721,0.991265939999721,1,0.9912469219998457,0.017455027000323753,24,28.0,68.0,132.0,260.0,16,28,24,0.017474045000199112,3,2.0067643902000416,1
DCQO,19,1611557,16,10,0.05,0.5,0.05,0.1,1.0,100,1.9939624220005499,2.6798975149995385,2.696674102999168,2.696674102999168,1,2.696656209998764,0.016758694999225554,24,28.0,48.0,128.0,392.0,16,28,24,0.016776587999629555,3,2.0067643902000416,0
