method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s,shots_per_s,unique,bestE_sample,q10,q50,q90,status,error
DCQO,12,2011438,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,12,2011438,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003332504998979857,900223.7058664148,nan,50.0,102.0,166.0,302.0,ok,
DAQO,13,2011455,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.666946108000047,449.9811385005992,2992.0,58.0,122.0,214.0,442.0,ok,
DCQO,13,2011455,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,13,2011455,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003386677000889904,885824.0686111199,nan,42.0,102.0,170.0,298.0,ok,
DAQO,14,2011472,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.641879401000551,451.67938453505667,2991.0,54.0,122.0,214.0,442.0,ok,
DCQO,14,2011472,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,14,2011472,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.0032564789999014465,921240.3949452128,nan,50.0,102.0,166.0,306.0,ok,
DAQO,15,2011489,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.62956705400029,452.51823770147945,2997.0,50.0,118.0,210.0,438.0,ok,
DCQO,15,2011489,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,15,2011489,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003301283999462612,908737.3278058914,nan,38.0,102.0,166.0,290.0,ok,
DAQO,16,2011506,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.637305239999478,451.99066360856955,2990.0,38.0,122.0,218.0,442.0,ok,
DCQO,16,2011506,20,10,0.05,0.5,0.05,0.1,1.0,1000,,,,,,,,skipped,DCQO_MAX_N
RANDOM,16,2011506,20,10,0.05,0.5,0.05,0.0,1.0,3000,0.003338911999890115,898496.2766609995,nan,46.0,102.0,170.0,298.0,ok,
DAQO,17,2011523,20,10,0.05,0.5,0.05,0.0,1.0,3000,6.636184946999492,452.06696678283964,2988.0,50.0,118.0,214.0,430.0,ok,
